كِتابْهَا;her book (F SG)
الطبخ;cooking (M SG)
مُستَقبَل;future (M SG)
سَآبِيعُ;weeks (M PL)
فاكهَة;fruit (F SG)
إثنا عَشر;twelve (M DU)
تِي شِيرت;T-shirt (M SG)
ٱللَّهُ ٱلصَّمَدُ;Allah, the Self-Sufficient Master (M SG)
قائِمَة;list (F SG)
الْعنب;the grape (M SG)
ثلاثَة مائَة;three hundred (F SG)
مُنتِج;producer (M SG)
قلَمَهُم;their pen (M SG 3P)
يَوْم العُطْلَة;Day off or holiday (M SG)
اللُغَة;the language (F SG)
طائِرَة;airplane (F SG)
مَلَاك;angel (M SG)
خَروف;sheep (M SG)
المُصَلَى;the prayer hall (M SG)
سَبَاك;plumber (M SG)
زوجات;wives (F PL)
مُهندِسَة;female engineer (F SG)
كُتُب;books (M PL)
ألف;thousand (M SG)
دَجاج;chicken (F SG)
مُوسِم;season (M SG)
كِتابُكَ;your book (M SG)
غداء;lunch (M SG)
بَيْت;house (M SG)
نَفس;self (F SG)
عَم;uncle (paternal) (M SG)
كِتابُنَا;our book (M SG 1P)
حَرارَة;temperature (F SG)
جُندِي;soldier (M SG)
بُنِيَة;structure (F SG)
شارِب;moustache (M SG)
الصّندوق;the box (M SG)
فاعِل;doer (M SG)
عَشرْ مَدارِس;ten schools (F PL)
رَب;lord (M SG)
أي شَيء;anything (M SG)
يَة;suffix -ia (used as an ending for nouns) (F SG)
زَوْج;husband (M SG)
الْأرنب;the rabbit (M SG)
مِصَر;Egypt (F SG)
بُرتُقالِيَة;orange (feminine) (F SG)
حَبِيبَة;beloved (F SG)
تِلفاز;television (M SG)
مَشروع;project (M SG)
إبْنَة;daughter (F SG)
كِتابُكُم;your book (M SG)
كِتابُهُ;his book (M SG)
سَنَنام;hump (of a camel) (M SG)
مَرَّة;once (F SG)
شُكرِي;my gratitude (M SG)
سارِق;thief (M SG)
مَنزِل;house (M SG)
نَفسِي;myself (F SG 1S)
الشُكر;gratitude (M SG)
الجد;the grandfather (M SG)
شَتْمَ;insult (M SG)
تَلج;snow (M SG)
أحمدطارق;Ahmed Tarek (M SG)
بَنات;girls (F PL)
كانِس;sweeper (M SG)
ساعات;hours (F PL)
ساعَة;hour (F SG)
مُفَرد;singular (M SG)
بِرُودَة;coldness (F SG)
سِتَّة;six (F SG)
ثلاثُون;thirty (M PL)
فائِد;benefit (F SG)
الرِياضِيَّات;mathematics (F PL)
الْخس;lettuce (M SG)
مُحاسب;accountant (M SG)
مادَة;substance (F SG)
مَدارِس;schools (F PL)
غُرفَة;room (F SG)
سَرِير;bed (M SG)
مائِدَة;table (F SG)
كِتابُهُم;their book (M SG 3P)
مَطعم;restaurant (M SG)
ملابِس;clothes (F PL)
ثَمانِيَة;eight (F SG)
قَلْم;pen (M SG)
مُهندِس تَطْبِيقَات;applications engineer (M SG)
سوِيسرا;Switzerland (F SG)
صَيْف;summer (M SG)
أُستاذ دِيان;Professor Diyan (M SG)
جَمَل;camel (M SG)
عِشرِين;twenty (F SG)
أَطِباء;doctors (M PL)
بَرمَجَة;programming (F SG)
مَأكُول;food (M SG)
الكانِسة;the sweeper (F SG)
بَنطَلُون;trousers (M SG)
عامِل;worker (M SG)
شَخص;person (M SG)
كِتابان;two books (M DU)
للمجهول;unknown (M SG)
عَشرَة;ten (F SG)
مُهندِس;engineer (M SG)
وَالِد;father (M SG)
أطباق;dishes (F PL)
موتوسيكِل;motorcycle (M SG)
أُختِي;my sister (F SG 1S)
اِسمُهُ;his name (M SG)
عَمَّة;paternal aunt (F SG)
قَمِيص;shirt (M SG)
سَلطة;salad (F SG)
لَحظَة;moment (F SG)
اِسمُنا;our name (M SG 1P)
قَلْمِي;my pen (M SG 1S)
مَدرسات;schools (F PL)
قَلمَنَا;our pen (M SG 1P)
الليْل;the night (M SG)
جَوْ;weather (M SG)
شُغْل;work (M SG)
أرِيكَة;sofa (F SG)
مُبتَدأ;subject (M SG)
لَحم;meat (M SG)
رِيَاح;winds (F PL)
ثلاثَة عَشر;thirteen (M SG)
أَرُزّ;rice (M SG)
عَاصِفَة;storm (F SG)
خَمسَة مُهندِسات;five female engineers (F PL)
العَالَمِين;the worlds (M PL)
سِنِين;years (F PL)
خَرِيف;autumn (M SG)
مِرآة;mirror (F SG)
مائَتان;two hundred (F DU)
اِسمُكَ;your name (M SG 2S)
ثَلاثْ;three (F SG)
حِصَّة;share, portion, class session (F SG)
سِلاح;weapon (M SG)
تطبيقات;applications (F PL)
مَكتَب;office (M SG)
أَلاف;thousands (F PL)
إبن;son (M SG)
اِسمِي;my name (M SG 1S)
مُهندِسُون;engineers (M PL)
مَلك;king (M SG)
دَوْلَة;state (F SG)
خَبَر;news (M SG)
شَمس;sun (F SG)
ديانجسيكا;Dianzheeka (F SG)
راتِب;salary (M SG)
خَمسَة;five (F SG)
العربية;the Arabic (language) (F SG)
حَقيبَة;bag (F SG)
شِمال;north (M SG)
مَرَّات;times (F PL)
مَدرَسَة;school (F SG)
سَنَة;year (F SG)
دِيان;religion (M SG)
حمَّام;bathroom (M SG)
ساكِن;resident (M SG)
أشخاص;people (M PL)
جِنس;gender (M SG)
مَطار;airport (M SG)
جينسيتي;my nationality ()
رَجل;man (M SG)
مُوْظَّف;employee (M SG)
الصباح;the morning (M SG)
لَيْهَم;they (M PL)
أحمَدُ;Ahmad (M SG)
لاعِب;player (M SG)
مَحفظَة;wallet (F SG)
ثلاثَة;three (F SG)
غوص;diving (M SG)
أَحد;one (M SG)
عَمَل;work (M SG)
جُبْن قَرِيش;Cottage Cheese (M SG)
التّمثال;the statue (M SG)
مُشكِلَة;problem (F SG)
وَسط;middle (M SG)
صوم;fast (M SG)
عِشرُون;twenty (F SG)
مَدينَة;city (F SG)
وَلد;boy (M SG)
وَحدي;alone (M SG 1S)
الأسكَندَرِيَة;Alexandria (F SG)
مُؤنَّث;feminine (F SG)
الشَمْسُ;the sun (F SG)
أثاث;furniture (M SG)
فِعَل;acts (M PL)
جِنسِيَة;nationality (F SG)
زُملاء;colleagues (M PL)
مُناخ;climate (M SG)
الناقِل;carrier (M SG)
صَدِيق;friend (M SG)
طَقس;weather (M SG)
جِنسِيَتِي;my nationality (F SG 1S)
الصَّمَد;The Eternal Refuge (M SG)
مَدرَستان;two schools (F DU)
وجبة;meal (F SG)
العَسكَرِيَّة;military (F SG)
عَشاء;dinner (M SG)
كِتَابِي;my book (M SG 1S)
مُهندِسات;female engineers (F PL)
لَوْحَة;painting (F SG)
تِسعَة عَشر;nineteen (F SG)
شُغلْهَا;her work (F SG)
قَلْمُه;his pen (M SG)
صَف;line or row (M SG)
الذُّرَة;corn (F SG)
دفتر;notebook (M SG)
نفَس الشَيء;the same thing (M SG)
رِبال;rybal (M SG)
الزوج;husband (M SG)
طَبِيب;doctor (M SG)
المانجُو;mango (M SG)
خَط الرِقعَة;Ruqa script (M SG)
سَبْعَة;seven (F SG)
فِطر;mushroom (M SG)
صباح;morning (M SG)
صَحِيفَة;newspaper (F SG)
حَبِيب;beloved (M SG)
سَبعَة عَشر;seventeen (M SG)
يَوْمِ الدِّين;Day of Judgment (M SG)
دَرس;lesson (M SG)
أُم;mother (F SG)
سائِل;liquid (M SG)
مَنزِلِي;my house (M SG 1S)
ضِيوف;guests (M PL)
أسبُوع;week (M SG)
عايةً;care (F SG)
خَمسَة عَشر;fifteen (F SG)
ريهام;Riham (F SG)
الله;God (M SG)
دُور;houses (F PL)
طَبِيبات;female doctors (F PL)
أربَعَة;four (F SG)
لَحظَات;moments (F PL)
سُؤال;question (M SG)
فُوز;victory (M SG)
محمد;Muhammad (M SG)
اِسمُهَا;her name (F SG)
طَعم;taste (M SG)
شِتاء;winter (M SG)
خُبْز;bread (M SG)
راكِب;rider (M SG)
جيسيكا;Jessica (F SG)
الفعل المُضَارِع;the present tense verb (M SG)
الدُنِيا;the world (F SG)
اِسم الفاعِل;active participle (M SG)
صَلاَة;prayer (F SG)
خَط النّسَخ;Naskh script (M SG)
قَمَر;moon (M SG)
مَطر;rain (M SG)
زَوْجَة;wife (F SG)
إنتِظَار;waiting (F SG)
كُفُوَاً;equal (M SG)
بَطيخ;watermelon (M SG)
مَشرُوب;drink (M SG)
شَقَّة;apartment (F SG)
شَنطَة;bag (F SG)
مُثَلجات;ice creams (F PL)
مُسافِر;traveler (M SG)
يَوم;day (M SG)
سَيَّارَة;car (F SG)
